ROUTE_ID,ROUTE_SEQ,STOP_SEQ,STOP_ID,STOP_PICK_DROP,STOP_NAMEC,STOP_NAMES,STOP_NAMEE,LAST_UPDATE_DATE,ROUTE_NAMEC,Longitude,Latitude,COMPANY_CODE
1006,1,1,550,2,筲箕灣巴士總站/<br>筲箕灣,筲箕湾巴士总站/<br>筲箕湾,SHAU KEI WAN BUS TERMINUS/<br>Shau Kei Wan,04/02/25,102P,114.22768,22.28082,KMB+CTB
1006,1,2,747,3,"愛賢街/<br>愛蝶灣, 愛賢街","爱贤街/<br>爱蝶湾, 爱贤街","OI YIN STREET/<br>Aldrich Garden, Oi Yin Street",04/02/25,102P,114.22765,22.28329,KMB+CTB
1006,1,3,12458,3,"峻峰花園/<br>峻峰花園, 東喜道","峻峰花园/<br>峻峰花园, 东喜道","PERFECT MOUNT GARDENS/<br>Perfect Mount Gardens, Tung Hei Road",04/02/25,102P,114.22814,22.2814,KMB+CTB
1006,1,4,101,3,"新成街/<br>新成街, 筲箕灣道","新成街/<br>新成街, 筲箕湾道","SUN SING STREET/<br>Sun Sing Street, Shau Kei Wan Road",04/02/25,102P,114.22543,22.28136,KMB+CTB
1006,1,5,102,3,"海晏街/<br>海晏街, 筲箕灣道","海晏街/<br>海晏街, 筲箕湾道","HOI AN STREET/<br>Hoi An Street, Shau Kei Wan Road",04/02/25,102P,114.2228,22.2831,KMB+CTB
1006,1,6,173,3,"西灣河文娛中心/<br>西灣河文娛中心, 筲箕灣道","西湾河文娱中心/<br>西湾河文娱中心, 筲箕湾道","SAI WAN HO CIVIC CENTRE/<br>Sai Wan Ho Civic Centre, Shau Kei Wan Road",04/02/25,102P,114.22143,22.28412,KMB+CTB
1006,1,7,748,3,"太富街/<br>太富街, 筲箕灣道","太富街/<br>太富街, 筲箕湾道","TAI FOO STREET/<br>Tai Foo Street, Shau Kei Wan Road",04/02/25,102P,114.2203,22.28556,KMB+CTB
1006,1,8,104,3,"康怡廣場/<br>康怡廣場, 康山道","康怡广场/<br>康怡广场, 康山道","KORNHILL PLAZA/<br>Kornhill Plaza, Kornhill Road",04/02/25,102P,114.21616,22.28685,KMB+CTB
1006,1,9,105,3,"寶峰園/<br>寶峰園, 英皇道","宝峰园/<br>宝峰园, 英皇道","BO FUNG GARDENS/<br>Bo Fung Gardens, King's Road",04/02/25,102P,114.21376,22.28695,KMB+CTB
1006,1,10,749,3,"新威園/<br>新威園, 英皇道","新威园/<br>新威园, 英皇道","SUNWAY GARDENS/<br>Sunway Gardens, King's Road",04/02/25,102P,114.21041,22.28794,KMB+CTB
1006,1,11,108,3,"民新街/<br>民新街, 英皇道","民新街/<br>民新街, 英皇道","MANSION STREET/<br>Mansion Street, King's Road",04/02/25,102P,114.20866,22.29226,KMB+CTB
1006,1,12,110,3,"健康村/<br>健康村, 英皇道","健康村/<br>健康村, 英皇道","HEALTHY VILLAGE/<br>Healthy Village, King's Road",04/02/25,102P,114.20581,22.29423,KMB+CTB
1006,1,13,111,3,"健威花園/<br>健威花園, 英皇道","健威花园/<br>健威花园, 英皇道","HEALTHY GARDENS/<br>Healthy Gardens, King's Road",04/02/25,102P,114.20325,22.29414,KMB+CTB
1006,1,14,112,3,"琴行街/<br>琴行街, 英皇道","琴行街/<br>琴行街, 英皇道","KAM HONG STREET/<br>Kam Hong Street, King's Road",04/02/25,102P,114.20058,22.29359,KMB+CTB
1006,1,15,9015,3,紅隧轉車站/<br>海底隧道巴士轉乘站,红隧转车站/<br>海底隧道巴士转乘站,CROSS HARBOUR TUNNEL BBI/<br>Cross Harbour Tunnel Bus-Bus Interchange,04/02/25,102P,114.17963,22.30541,KMB+CTB
1006,1,16,9011,3,"拔萃女書院/<br>拔萃女書院, 加士居道","拔萃女书院/<br>拔萃女书院, 加士居道","DIOCESAN GIRLS' SCHOOL/<br>Diocesan Girls' School, Gascoigne Road",04/02/25,102P,114.17206,22.30995,KMB+CTB
1006,1,17,970,3,"油麻地眾坊街/<br>眾坊街, 彌敦道","油麻地众坊街/<br>众坊街, 弥敦道","PUBLIC SQUARE STREET YAU MA TEI/<br>Public Square Street, Nathan Road",04/02/25,102P,114.17037,22.31298,KMB+CTB
1006,1,18,9052,3,"旺角登打士街/<br>登打士街, 彌敦道","旺角登打士街/<br>登打士街, 弥敦道","DUNDAS STREET MONG KOK/<br>Dundas Street, Nathan Road",04/02/25,102P,114.16956,22.31713,KMB+CTB
1006,1,19,9054,3,"山東街 朗豪坊/<br>山東街, 彌敦道","山东街 朗豪坊/<br>山东街, 弥敦道","SHANTUNG STREET, LANGHAM PLACE/<br>Shantung Street, Nathan Road",04/02/25,102P,114.16906,22.3195,KMB+CTB
1006,1,20,10225,3,"鴉蘭街 維景酒店/<br>鴉蘭街, 彌敦道","鸦兰街 维景酒店/<br>鸦兰街, 弥敦道","ARRAN STREET, METROPARK HOTEL MONG KOK/<br>Arran Street, Nathan Road",04/02/25,102P,114.16785,22.32544,KMB+CTB
